,2_pointers,2_pointers_attempted,2pt_percentage,3_pointers,3_pointers_attempted,3pt_percentage,assists,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,field_goals_attempted,free_throw_percentage,free_throws,free_throws_attempted,games,games_start,minutes_played,name,offensive_rebounds,personal_fouls,points,steals,total_rebounds,turnovers
0,3.3,6.4,.522,1.6,4.2,.373,2.8,0.3,3.7,.537,.462,4.9,10.6,.713,1.4,2.0,435,369,30.3,Chandler Parsons,0.8,2.0,12.8,0.9,4.5,1.5
1,3.6,7.8,.458,0.4,1.3,.296,3.5,0.3,4.2,.456,.435,4.0,9.1,.781,1.5,2.0,686,295,27.2,Evan Turner,0.6,2.0,9.9,0.8,4.7,1.8
2,1.7,3.6,.472,1.7,4.3,.393,1.2,0.3,2.6,.536,.429,3.4,7.9,.835,1.1,1.3,344,112,24.6,Allen Crabbe,0.3,2.1,9.5,0.6,2.9,0.8
3,2.1,4.3,.504,0.4,1.5,.281,1.9,0.4,2.8,.482,.445,2.6,5.8,.605,0.8,1.3,146,19,18.9,DeAndre' Bembry,0.5,1.7,6.3,0.9,3.3,1.4
4,1.5,2.3,.643,0.0,0.0,0,0.6,0.7,1.4,.643,.643,1.5,2.3,.577,0.6,1.1,49,22,11.9,Damian Jones,0.9,1.9,3.6,0.3,2.3,0.5
5,5.2,8.7,.605,0.5,1.5,.346,1.6,0.9,5.5,.592,.566,5.8,10.2,.743,2.5,3.3,135,85,26.8,John Collins,2.9,3.1,14.6,0.5,8.4,1.7
6,4.6,9.6,.477,1.9,6.0,.324,8.1,0.2,2.9,.480,.418,6.5,15.5,.829,4.2,5.1,81,81,30.9,Trae Young,0.8,1.7,19.1,0.9,3.7,3.8
7,1.9,4.1,.457,1.8,4.7,.385,2.9,0.3,2.5,.522,.419,3.7,8.8,.732,0.5,0.7,75,59,27.3,Kevin Huerter,0.8,2.1,9.7,0.9,3.3,1.5
8,2.8,5.6,.501,0.2,0.6,.349,0.8,1.0,4.3,.503,.487,3.0,6.2,.695,1.7,2.5,412,171,19.9,Alex Len,2.1,2.7,7.9,0.4,6.3,1.3
9,5.4,10.3,.521,0.7,2.0,.337,2.1,0.4,4.2,.518,.491,6.1,12.4,.739,2.2,3.0,247,167,29.7,Jabari Parker,1.5,2.0,15.1,0.9,5.7,1.8
10,3.0,5.9,.516,1.2,3.2,.365,1.3,0.3,3.2,.527,.462,4.2,9.1,.658,1.7,2.5,222,115,24.4,Jaylen Brown,0.8,2.3,11.2,0.8,4.0,1.3
11,4.0,8.3,.487,1.4,3.5,.400,1.9,0.7,4.8,.520,.461,5.4,11.8,.840,2.6,3.1,159,159,30.8,Jayson Tatum,0.8,2.1,14.8,1.1,5.5,1.5
12,3.8,7.9,.483,1.3,3.6,.364,3.4,0.4,3.5,.503,.446,5.1,11.5,.821,3.6,4.3,589,427,30.6,Gordon Hayward,0.7,1.7,15.1,1.0,4.2,2.0
13,0.5,1.0,.485,0.5,1.7,.318,0.3,0.1,1.4,.480,.382,1.0,2.7,.613,0.4,0.6,129,3,13.5,Semi Ojeleye,0.5,1.0,3.0,0.2,1.9,0.3
14,1.1,1.6,.706,0.0,0.0,0,0.2,1.3,1.7,.706,.706,1.1,1.6,.600,0.3,0.5,32,2,8.8,Robert Williams,0.8,1.1,2.5,0.3,2.5,0.3
15,1.8,4.1,.436,1.3,4.2,.310,3.9,0.4,2.6,.451,.372,3.1,8.3,.764,1.8,2.4,341,143,28.4,Marcus Smart,0.9,2.6,9.3,1.6,3.5,1.7
16,4.8,10.5,.452,2.1,5.9,.357,5.5,0.4,3.3,.482,.418,6.9,16.5,.835,4.0,4.7,605,560,34.1,Kemba Walker,0.6,1.5,19.8,1.3,3.8,2.2
17,1.8,2.9,.610,0.3,1.0,.352,1.0,0.7,2.5,.589,.545,2.1,3.9,.745,0.9,1.2,129,5,14.3,Daniel Theis,1.4,2.5,5.5,0.4,3.9,0.7
18,4.8,8.8,.548,0.1,0.2,.294,0.8,0.4,4.7,.545,.541,4.9,9.0,.780,2.1,2.7,583,216,22.2,Enes Kanter,2.9,2.2,11.9,0.4,7.6,1.6
19,0.9,1.8,.515,0.4,1.1,.410,1.6,0.1,1.1,.552,.476,1.4,2.9,.857,0.7,0.8,36,0,9.5,Brad Wanamaker,0.1,0.9,3.9,0.3,1.1,0.5
20,1.4,3.2,.434,1.6,4.3,.374,2.3,0.1,3.6,.506,.399,3.0,7.5,.754,0.4,0.5,134,37,22.9,Denzel Valentine,0.4,2.0,8.0,0.7,4.1,1.1
