,2_pointers,2_pointers_attempted,2pt_percentage,3_pointers,3_pointers_attempted,3pt_percentage,age,assists,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,field_goals_attempted,free_throw_percentage,free_throws,free_throws_attempted,games,games_start,minutes_played,name,offensive_rebounds,personal_fouls,points,position,season,steals,team,total_rebounds,turnovers
0,1.5,3.8,.388,0.7,2.7,.269,28,1.6,0.1,2.3,.394,.338,2.2,6.5,.814,1.0,1.3,34,34,19.9,Chandler Parsons,0.2,1.5,6.2,SF,2016-17,0.6,MEM,2.5,0.7
1,1.6,3.1,.504,1.4,3.4,.421,29,1.9,0.3,2.1,.571,.462,3.0,6.5,.630,0.5,0.8,36,8,19.2,Chandler Parsons,0.4,1.5,7.9,SF,2017-18,0.5,MEM,2.5,1.0
2,1.6,3.5,.443,1.2,3.8,.309,30,1.7,0.2,2.6,.453,.374,2.7,7.3,.880,0.9,1.0,25,3,19.8,Chandler Parsons,0.2,1.8,7.5,SF,2018-19,0.8,MEM,2.8,1.3
3,3.1,6.7,.470,0.5,1.8,.263,28,3.2,0.4,3.2,.454,.426,3.6,8.5,.825,1.3,1.6,65,12,25.5,Evan Turner,0.6,1.9,9.0,SF,2016-17,0.8,POR,3.8,1.5
4,2.7,5.6,.485,0.5,1.7,.318,29,2.2,0.4,2.7,.484,.447,3.3,7.3,.850,1.2,1.4,79,40,25.7,Evan Turner,0.4,2.1,8.2,SF,2017-18,0.6,POR,3.1,1.3
5,2.6,5.4,.494,0.2,0.7,.212,30,3.9,0.2,4.0,.473,.460,2.8,6.1,.708,1.0,1.5,73,2,22.0,Evan Turner,0.5,1.5,6.8,PG,2018-19,0.5,POR,4.5,1.6
6,2.1,4.4,.490,1.7,3.8,.444,24,1.2,0.3,2.6,.572,.468,3.8,8.2,.847,1.3,1.6,79,7,28.5,Allen Crabbe,0.2,2.2,10.7,SG,2016-17,0.7,POR,2.9,0.8
7,1.8,3.9,.461,2.7,7.1,.378,25,1.6,0.5,3.9,.529,.407,4.5,11.0,.852,1.5,1.8,75,68,29.3,Allen Crabbe,0.4,2.2,13.2,SG,2017-18,0.6,BRK,4.3,1.0
8,0.9,2.7,.342,2.3,6.0,.378,26,1.1,0.3,3.1,.499,.367,3.2,8.7,.732,1.0,1.3,43,20,26.3,Allen Crabbe,0.4,2.4,9.6,SG,2018-19,0.5,BRK,3.4,1.1
9,1.2,2.1,.575,0.0,0.5,.056,22,0.7,0.1,1.2,.485,.480,1.2,2.6,.375,0.2,0.4,38,1,9.8,DeAndre' Bembry,0.4,0.6,2.7,SF,2016-17,0.2,ATL,1.6,0.4
